Volcano Number,Volcano Name,Country,Volcanic Region Group,Volcanic Region,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Tectonic Setting,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
221022,Hanish,Yemen,Eastern Africa Volcanic Regions,Red Sea Rift Volcanic Province,Shield,Shield,Evidence Credible,Unknown,13.72,42.73,422,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,219,304,811,850223
252100,Hargy,Papua New Guinea,Southwest Pacific Volcanic Regions,Bismarck Volcanic Arc,Composite,Stratovolcano,Eruption Dated,950,-5.33,151.1,1148,Subduction zone / Continental crust (>25 km),Dacite,Andesite / Basaltic Andesite, , , , , , , , ,84,5093,14613,85504
283122,Harunasan,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano,Eruption Dated,550,36.477,138.851,1449,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,1135,36116,1185012,14076385
213002,Hasandag-Keciboyduran Volcanic Complex,Turkiye,European Volcanic Regions,Western Anatolian Volcanic Province,Cluster,Stratovolcano,Evidence Credible,Unknown,38.13,34.17,3253,Intraplate / Continental crust (>25 km),Dacite,Andesite / Basaltic Andesite,Rhyolite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , ,235,4979,174584,1362673
231110,"Haylan, Jabal",Yemen,Arabia-Central Asia Volcanic Regions,Southwest Arabia Volcanic Province,Cluster,Volcanic field,Eruption Dated,-1200,15.4,45.1,1550,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt, , , , , , , , , ,225754,225754,225754,4164209
241140,Healy,New Zealand,Tonga-Kermadec Volcanic Regions,Southern Kermadec Volcanic Arc,Composite,Stratovolcano,Eruption Dated,1360,-35.004,178.973,-980,Subduction zone / Oceanic crust (< 15 km),Dacite, , , , ,Rhyolite,Basalt / Picro-Basalt, , , ,0,0,0,0
234010,Heard,Australia,Somalian-Antarctic Volcanic Regions,Kerguelen Hotspot Volcano Group,Composite,Stratovolcano,Eruption Observed,2024,-53.106,73.513,2745,Intraplate / Oceanic crust (< 15 km),Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Phono-tephrite /  Tephri-phonolite, , , , , ,0,0,0,0
372070,Hekla,Iceland,Atlantic Ocean Volcanic Regions,Iceland Neovolcanic Rift Volcanic Province,Composite,Stratovolcano,Eruption Observed,2000,63.983,-19.666,1490,Rift zone / Oceanic crust (< 15 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite,Dacite, , , , , , ,0,0,298,22845
370020,Helgrindur,Iceland,Atlantic Ocean Volcanic Regions,Iceland Neovolcanic Rift Volcanic Province,Cluster,Volcanic field,Evidence Credible,Unknown,64.866,-23.283,986,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt, , , , , , , , , ,753,753,2312,20018
324040,Hell's Half Acre,United States,North America Volcanic Regions,Yellowstone-Snake River Hotspot Volcano Group,Shield,Shield,Eruption Dated,-3250,43.492,-112.4503,1632,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt, , , , , , , , , ,0,305,12646,295506
